0,		0
0.02,		0
0.04,		23.54167
0.06,		23.1525
0.08,		22.76966
0.09999999,		22.39294
0.12,		22.02215
0.14,		21.65709
0.16,		21.29758
0.18,		20.94345
0.2,		20.59453
0.22,		20.25065
0.24,		19.91166
0.26,		19.57742
0.28,		19.24777
0.3,		18.92257
0.32,		18.6017
0.34,		18.28502
0.36,		17.97241
0.38,		17.66374
0.4,		17.35891
0.42,		17.05779
0.4400001,		16.76028
0.4600001,		16.46627
0.4800001,		16.17566
0.5000001,		15.88836
0.52,		15.60427
0.54,		15.32329
0.56,		15.04533
0.58,		14.77032
0.6,		14.49815
0.6199999,		14.22877
0.6399999,		13.96208
0.6599999,		13.698
0.6799999,		13.43647
0.6999999,		13.17741
0.7199998,		12.92075
0.7399998,		12.66642
0.7599998,		12.41436
0.7799998,		12.1645
0.7999998,		11.91677
0.8199998,		11.67113
0.8399997,		11.4275
0.8599997,		11.18583
0.8799997,		10.94607
0.8999997,		10.70815
0.9199997,		10.47202
0.9399996,		10.23764
0.9599996,		10.00495
0.9799996,		9.773895
0.9999996,		9.544434
1.02,		9.316515
1.04,		9.090094
1.06,		8.865123
1.08,		8.641559
1.1,		8.419357
1.12,		8.198476
1.14,		7.978873
1.159999,		7.760507
1.179999,		7.543337
1.199999,		7.327324
1.219999,		7.112431
1.239999,		6.898617
1.259999,		6.685847
1.279999,		6.474083
1.299999,		6.263289
1.319999,		6.053431
1.339999,		5.844472
1.359999,		5.636379
1.379999,		5.429117
1.399999,		5.222654
1.419999,		5.016957
1.439999,		4.811994
1.459999,		4.607731
1.479999,		4.404139
1.499999,		4.201186
1.519999,		3.99884
1.539999,		3.797073
1.559999,		3.595853
1.579999,		3.395151
1.599999,		3.194937
1.619999,		2.995183
1.639999,		2.795859
1.659999,		2.596938
1.679999,		2.39839
1.699999,		2.200187
1.719999,		2.002301
1.739999,		1.804705
1.759999,		1.607371
1.779999,		1.410272
1.799999,		1.213379
1.819999,		1.016667
1.839999,		0.8201066
1.859999,		0.6236724
1.879999,		0.427337
1.899999,		0.2310734
1.919999,		0.0348548
1.939999,		-0.1613456
1.959999,		-0.3575366
1.979999,		-0.553692
1.999999,		-0.7497853
2.019999,		-0.9457896
2.039999,		-1.141678
2.059999,		-1.337424
2.079999,		-1.533001
2.099999,		-1.728383
2.119999,		-1.923543
2.139999,		-2.118455
2.159999,		-2.313092
2.179999,		-2.507429
2.199999,		-2.70144
2.219999,		-2.895099
2.239999,		-3.088381
2.259999,		-3.28126
2.279999,		-3.473711
2.299999,		-3.66571
2.319999,		-3.857231
2.339998,		-4.048251
2.359998,		-4.238745
2.379998,		-4.428689
2.399998,		-4.61806
2.419998,		-4.806835
2.439998,		-4.99499
2.459998,		-5.182503
2.479998,		-5.369351
2.499998,		-5.555513
2.519998,		-5.740967
2.539998,		-5.925691
2.559998,		-6.109665
2.579998,		-6.292868
2.599998,		-6.475279
2.619998,		-6.65688
2.639998,		-6.837651
2.659998,		-7.017572
2.679998,		-7.196625
2.699998,		-7.374792
2.719998,		-7.552055
2.739998,		-7.728397
2.759998,		-7.903801
2.779998,		-8.07825
2.799998,		-8.251728
2.819998,		-8.42422
2.839998,		-8.595711
2.859998,		-8.766185
2.879998,		-8.935628
2.899998,		-9.104027
2.919998,		-9.271368
2.939998,		-9.437638
2.959998,		-9.602826
2.979998,		-9.766918
2.999998,		-9.929904
3.019998,		-10.09177
3.039998,		-10.25251
3.059998,		-10.41211
3.079998,		-10.57057
3.099998,		-10.72786
3.119998,		-10.88399
3.139998,		-11.03894
3.159998,		-11.19271
3.179998,		-11.34529
3.199998,		-11.49668
3.219998,		-11.64686
3.239998,		-11.79583
3.259998,		-11.94358
3.279998,		-12.09011
3.299998,		-12.23542
3.319998,		-12.37949
3.339998,		-12.52233
3.359998,		-12.66393
3.379997,		-12.80429
3.399997,		-12.94341
3.419997,		-13.08128
3.439997,		-13.2179
3.459997,		-13.35326
3.479997,		-13.48738
3.499997,		-13.62024
3.519997,		-13.75185
3.539997,		-13.8822
3.559997,		-14.0113
